Time	Rep	Weight	S
10	1	1	84
20	1	1	72
30	1	1	60
40	1	1	54
50	1	1	50
60	1	1	43
70	1	1	46
80	1	1	37
90	1	1	29
100	1	1	31
10	2	1	86
20	2	1	74
30	2	1	68
40	2	1	58
50	2	1	46
60	2	1	48
70	2	1	52
80	2	1	50
90	2	1	46
100	2	1	40
10	3	1	89
20	3	1	73
30	3	1	67
40	3	1	57
50	3	1	41
60	3	1	38
70	3	1	38
80	3	1	31
90	3	1	37
100	3	1	35
10	4	1	81
20	4	1	66
30	4	1	56
40	4	1	48
50	4	1	44
60	4	1	40
70	4	1	50
80	4	1	38
90	4	1	39
100	4	1	35
10	5	1	76
20	5	1	65
30	5	1	60
40	5	1	51
50	5	1	43
60	5	1	49
70	5	1	52
80	5	1	47
90	5	1	41
100	5	1	36
