beta,gamma,Susceptible,Infected,Recovered
0.00415,0.15,126.4325,327.71,625.4675
0.00415,0.18,121.685,284.4175,663.675
0.00415,0.20999999999999996,999.0,243.1625,711.845
0.00415,0.23999999999999996,999.0,213.775,725.4525
0.00415,0.26999999999999996,999.0,193.1925,743.4425
0.00415,0.29999999999999993,999.0,174.7075,763.845
0.00415,0.32999999999999996,999.0,160.43,779.8
0.00415,0.35999999999999993,999.0,147.18,791.915
0.00415,0.3899999999999999,999.0,135.645,793.4225
0.00415,0.41999999999999993,999.0,126.12,805.585
0.00415,0.44999999999999996,999.0,117.82,813.9125
0.00498,0.15,104.9175,331.835,626.3325
0.00498,0.18,90.88,283.2775,680.9
0.00498,0.20999999999999996,90.095,244.36,706.175
0.00498,0.23999999999999996,999.0,215.1625,732.5
0.00498,0.26999999999999996,999.0,192.345,758.6675
0.00498,0.29999999999999993,999.0,173.4475,775.2025
0.00498,0.32999999999999996,999.0,161.0925,789.56
0.00498,0.35999999999999993,998.015,147.385,801.275
0.00498,0.3899999999999999,999.0,136.37,811.5325
0.00498,0.41999999999999993,999.0,125.37,809.6225
0.00498,0.44999999999999996,999.0,117.3825,817.1725
0.005809999999999999,0.15,92.7425,344.895,639.2125
0.005809999999999999,0.18,999.0,290.6325,680.6625
0.005809999999999999,0.20999999999999996,100.9925,254.8375,724.1375
0.005809999999999999,0.23999999999999996,999.0,219.3475,745.3075
0.005809999999999999,0.26999999999999996,92.06,197.9775,767.1725
0.005809999999999999,0.29999999999999993,999.0,177.7875,784.3875
0.005809999999999999,0.32999999999999996,999.0,161.2675,798.7725
0.005809999999999999,0.35999999999999993,998.0125,146.1025,806.175
0.005809999999999999,0.3899999999999999,999.0,135.1325,821.8675
0.005809999999999999,0.41999999999999993,999.0,126.145,822.6475
0.005809999999999999,0.44999999999999996,999.0,117.7375,827.785
0.006639999999999999,0.15,73.5675,345.8125,641.9575
0.006639999999999999,0.18,81.27,293.09,683.9275
0.006639999999999999,0.20999999999999996,998.005,254.86,722.23
0.006639999999999999,0.23999999999999996,999.0,218.64,758.6225
0.006639999999999999,0.26999999999999996,87.065,196.575,775.7225
0.006639999999999999,0.29999999999999993,72.3875,176.4125,796.14
0.006639999999999999,0.32999999999999996,999.0,161.1,807.3275
0.006639999999999999,0.35999999999999993,999.0,147.8975,816.8325
0.006639999999999999,0.3899999999999999,999.0,136.6925,824.35
0.006639999999999999,0.41999999999999993,999.0,126.7925,833.1375
0.006639999999999999,0.44999999999999996,999.0,118.44,841.2075
0.007469999999999999,0.15,85.28,324.08,651.6575
0.007469999999999999,0.18,63.085,277.93,694.9175
0.007469999999999999,0.20999999999999996,67.2375,247.63,739.0875
0.007469999999999999,0.23999999999999996,66.875,218.535,761.9525
0.007469999999999999,0.26999999999999996,999.0,196.2975,779.18
0.007469999999999999,0.29999999999999993,999.0,177.23,798.82
0.007469999999999999,0.32999999999999996,999.0,161.2325,811.7625
0.007469999999999999,0.35999999999999993,999.0,148.1725,823.065
0.007469999999999999,0.3899999999999999,999.0,136.26,830.0575
0.007469999999999999,0.41999999999999993,999.0,126.905,838.9425
0.007469999999999999,0.44999999999999996,999.0,118.5175,846.305
0.008299999999999998,0.15,67.17,323.845,656.42
0.008299999999999998,0.18,63.4775,277.775,703.1625
0.008299999999999998,0.20999999999999996,65.585,243.95,734.2625
0.008299999999999998,0.23999999999999996,999.0,215.5,760.605
0.008299999999999998,0.26999999999999996,67.24,192.9375,781.7
0.008299999999999998,0.29999999999999993,60.4575,173.68,802.4625
0.008299999999999998,0.32999999999999996,68.92,158.0725,817.9025
0.008299999999999998,0.35999999999999993,999.0,145.1475,829.03
0.008299999999999998,0.3899999999999999,999.0,133.8925,834.785
0.008299999999999998,0.41999999999999993,999.0,124.595,842.9075
0.008299999999999998,0.44999999999999996,999.0,116.5575,850.875
0.00913,0.15,51.465,323.69,658.945
0.00913,0.18,999.0,278.2275,705.465
0.00913,0.20999999999999996,59.9525,244.0075,736.6275
0.00913,0.23999999999999996,56.76,216.275,762.3375
0.00913,0.26999999999999996,52.095,192.7375,787.035
0.00913,0.29999999999999993,999.0,174.005,808.625
0.00913,0.32999999999999996,62.4775,158.165,820.465
0.00913,0.35999999999999993,999.0,145.0,832.9125
0.00913,0.3899999999999999,64.48,136.11,837.285
0.00913,0.41999999999999993,64.31,126.5525,846.435
0.00913,0.44999999999999996,57.1225,117.95,855.1575
0.009959999999999998,0.15,47.7075,332.8675,663.5475
0.009959999999999998,0.18,54.98,288.4375,711.515
0.009959999999999998,0.20999999999999996,49.885,249.0725,746.0375
0.009959999999999998,0.23999999999999996,50.19,218.56,767.565
