beta,gamma,Susceptible,Infected,Recovered
0.00415,0.15,68.77,292.435,545.8575
0.00415,0.18,69.1325,252.335,601.8075
0.00415,0.20999999999999996,69.11,0.005,0.995
0.00415,0.23999999999999996,70.06,0.015,0.9825
0.00415,0.26999999999999996,69.045,0.015,0.985
0.00415,0.29999999999999993,71.9275,0.0025,0.9925
0.00415,0.32999999999999996,75.8525,0.0225,0.9775
0.00415,0.35999999999999993,75.14,0.005,0.995
0.00415,0.3899999999999999,75.6225,0.005,0.9825
0.00415,0.41999999999999993,77.3375,0.005,0.9825
0.00415,0.44999999999999996,77.5025,0.005,0.9875
0.00498,0.15,62.33,292.6025,576.2375
0.00498,0.18,56.7975,252.1,640.685
0.00498,0.20999999999999996,65.5275,216.725,670.3525
0.00498,0.23999999999999996,64.3275,0.0075,0.9925
0.00498,0.26999999999999996,58.82,0.0025,0.9825
0.00498,0.29999999999999993,66.895,0.005,0.995
0.00498,0.32999999999999996,61.84,0.0025,0.9975
0.00498,0.35999999999999993,61.7675,0.06,1.925
0.00498,0.3899999999999999,69.06,0.0025,0.985
0.00498,0.41999999999999993,70.27,0.0025,0.9975
0.00498,0.44999999999999996,70.085,0.0025,0.995
0.005809999999999999,0.15,55.21,294.98,579.2575
0.005809999999999999,0.18,49.805,0.0075,0.9925
0.005809999999999999,0.20999999999999996,41.38,217.6625,667.7125
0.005809999999999999,0.23999999999999996,42.91,0.005,0.9925
0.005809999999999999,0.26999999999999996,55.175,169.1125,731.925
0.005809999999999999,0.29999999999999993,56.79,0.005,0.9825
0.005809999999999999,0.32999999999999996,53.205,0.0025,0.9975
0.005809999999999999,0.35999999999999993,54.535,0.0525,1.935
0.005809999999999999,0.3899999999999999,55.815,0.0025,0.9875
0.005809999999999999,0.41999999999999993,55.885,0.0025,0.9975
0.005809999999999999,0.44999999999999996,60.44,0.0025,0.995
0.006639999999999999,0.15,48.06,293.65,600.175
0.006639999999999999,0.18,47.205,251.68,650.1275
0.006639999999999999,0.20999999999999996,38.685,0.015,1.98
0.006639999999999999,0.23999999999999996,47.535,0.0075,0.9925
0.006639999999999999,0.26999999999999996,44.44,171.94,728.7975
0.006639999999999999,0.29999999999999993,47.5725,155.4875,751.2
0.006639999999999999,0.32999999999999996,42.1375,0.0025,0.97
0.006639999999999999,0.35999999999999993,43.3425,0.005,0.995
0.006639999999999999,0.3899999999999999,49.225,0.0025,0.995
0.006639999999999999,0.41999999999999993,49.115,0.0025,0.995
0.006639999999999999,0.44999999999999996,49.1425,0.0025,0.995
0.007469999999999999,0.15,39.5225,297.655,600.815
0.007469999999999999,0.18,41.5225,255.3425,668.0675
0.007469999999999999,0.20999999999999996,37.68,220.73,703.1725
0.007469999999999999,0.23999999999999996,39.3975,196.06,724.7475
0.007469999999999999,0.26999999999999996,41.2975,0.0075,0.9925
0.007469999999999999,0.29999999999999993,39.9375,0.015,0.985
0.007469999999999999,0.32999999999999996,37.4025,0.0025,0.9975
0.007469999999999999,0.35999999999999993,38.48,0.005,0.995
0.007469999999999999,0.3899999999999999,43.7725,0.0025,0.995
0.007469999999999999,0.41999999999999993,43.7925,0.0025,0.995
0.007469999999999999,0.44999999999999996,43.8975,0.0025,0.995
0.008299999999999998,0.15,39.6875,298.84,626.22
0.008299999999999998,0.18,38.93,254.5825,670.1725
0.008299999999999998,0.20999999999999996,33.915,224.24,706.11
0.008299999999999998,0.23999999999999996,35.705,0.0025,0.9975
0.008299999999999998,0.26999999999999996,40.2575,174.0,752.2225
0.008299999999999998,0.29999999999999993,36.1825,156.76,769.085
0.008299999999999998,0.32999999999999996,38.1225,141.125,773.9375
0.008299999999999998,0.35999999999999993,37.62,0.01,0.99
0.008299999999999998,0.3899999999999999,37.565,0.0025,0.99
0.008299999999999998,0.41999999999999993,38.07,0.0025,0.9975
0.008299999999999998,0.44999999999999996,38.1125,0.0025,0.9975
0.00913,0.15,31.1375,300.87,627.945
0.00913,0.18,33.885,0.0075,0.9925
0.00913,0.20999999999999996,31.005,225.2475,712.5575
0.00913,0.23999999999999996,32.4375,196.09,732.205
0.00913,0.26999999999999996,36.7425,175.1175,759.1575
0.00913,0.29999999999999993,33.3525,0.0025,0.9975
0.00913,0.32999999999999996,34.79,142.2975,779.5925
0.00913,0.35999999999999993,34.38,0.01,0.99
0.00913,0.3899999999999999,35.58,120.6525,809.915
0.00913,0.41999999999999993,35.6175,112.075,819.15
0.00913,0.44999999999999996,35.6975,105.115,827.8375
0.009959999999999998,0.15,30.17,302.6925,619.985
0.009959999999999998,0.18,27.5025,257.3425,675.41
0.009959999999999998,0.20999999999999996,29.1625,221.225,705.995
0.009959999999999998,0.23999999999999996,30.275,193.21,741.3175
0.009959999999999998,0.26999999999999996,32.6925,173.41,756.25
0.009959999999999998,0.29999999999999993,29.915,0.005,0.995
0.009959999999999998,0.32999999999999996,30.2775,141.8275,798.225
0.009959999999999998,0.35999999999999993,31.8325,0.0075,0.9925
0.009959999999999998,0.3899999999999999,31.9,120.1125,813.3575
0.009959999999999998,0.41999999999999993,32.6,112.08,823.935
0.009959999999999998,0.44999999999999996,32.7475,104.88,832.3525
0.010789999999999998,0.15,28.0,301.6775,612.825
0.010789999999999998,0.18,28.305,257.3875,666.81
0.010789999999999998,0.20999999999999996,29.1825,0.0025,0.9875
0.010789999999999998,0.23999999999999996,27.7775,0.005,0.995
0.010789999999999998,0.26999999999999996,30.275,0.0025,0.9975
0.010789999999999998,0.29999999999999993,28.4,153.865,784.0475
0.010789999999999998,0.32999999999999996,27.1125,140.2525,799.29
0.010789999999999998,0.35999999999999993,28.3125,127.135,813.54
0.010789999999999998,0.3899999999999999,27.4575,118.565,804.2075
0.010789999999999998,0.41999999999999993,27.4025,110.54,834.085
0.010789999999999998,0.44999999999999996,27.425,102.7875,823.16
0.011619999999999998,0.15,25.395,302.3125,617.595
0.011619999999999998,0.18,24.335,254.8675,680.6175
0.011619999999999998,0.20999999999999996,24.3725,219.19,718.29
0.011619999999999998,0.23999999999999996,26.2675,195.64,745.315
0.011619999999999998,0.26999999999999996,25.605,172.0575,751.005
0.011619999999999998,0.29999999999999993,26.7825,153.7425,782.345
0.011619999999999998,0.32999999999999996,27.0025,139.0675,802.4275
0.011619999999999998,0.35999999999999993,26.4625,127.26,815.595
0.011619999999999998,0.3899999999999999,25.5275,118.06,827.2925
0.011619999999999998,0.41999999999999993,25.575,110.3325,836.6975
0.011619999999999998,0.44999999999999996,25.5625,103.1225,831.8175
0.01245,0.15,26.395,303.375,635.4425
0.01245,0.18,20.89,254.6675,680.555
0.01245,0.20999999999999996,24.165,0.01,0.99
0.01245,0.23999999999999996,24.685,197.05,747.5575
0.01245,0.26999999999999996,23.995,0.0025,0.995
0.01245,0.29999999999999993,25.91,158.945,787.3125
0.01245,0.32999999999999996,27.44,144.525,810.8375
0.01245,0.35999999999999993,26.6,132.305,817.0775
0.01245,0.3899999999999999,24.6,0.005,0.995
0.01245,0.41999999999999993,24.55,113.1125,832.39
