beta,gamma,Susceptible,Infected,Recovered
0.00415,0.15,0.0,64.0,936.0
0.00415,0.18,0.0,38.7,961.3
0.00415,0.20999999999999996,49.95,20.6,929.45
0.00415,0.23999999999999996,99.9,10.95,889.15
0.00415,0.26999999999999996,49.95,6.95,943.1
0.00415,0.29999999999999993,99.9,4.0,896.1
0.00415,0.32999999999999996,49.95,2.7,947.35
0.00415,0.35999999999999993,49.95,1.3,948.75
0.00415,0.3899999999999999,149.85,0.65,849.5
0.00415,0.41999999999999993,149.85,0.4,849.75
0.00415,0.44999999999999996,99.95,0.3,899.75
0.00498,0.15,0.0,61.55,938.45
0.00498,0.18,0.0,36.3,963.7
0.00498,0.20999999999999996,0.0,19.5,980.5
0.00498,0.23999999999999996,49.95,10.8,939.25
0.00498,0.26999999999999996,149.85,5.55,844.6
0.00498,0.29999999999999993,49.95,3.75,946.3
0.00498,0.32999999999999996,99.85,2.1,898.05
0.00498,0.35999999999999993,49.9,1.5,948.6
0.00498,0.3899999999999999,249.7,0.5,749.8
0.00498,0.41999999999999993,99.85,0.4,899.75
0.00498,0.44999999999999996,199.75,0.15,800.1
0.005809999999999999,0.15,0.0,61.4,938.6
0.005809999999999999,0.18,49.95,32.85,917.2
0.005809999999999999,0.20999999999999996,0.0,20.55,979.45
0.005809999999999999,0.23999999999999996,99.9,10.55,889.55
0.005809999999999999,0.26999999999999996,0.0,6.7,993.3
0.005809999999999999,0.29999999999999993,149.8,3.75,846.45
0.005809999999999999,0.32999999999999996,99.85,2.1,898.05
0.005809999999999999,0.35999999999999993,49.9,1.5,948.6
0.005809999999999999,0.3899999999999999,249.7,0.5,749.8
0.005809999999999999,0.41999999999999993,99.85,0.4,899.75
0.005809999999999999,0.44999999999999996,199.75,0.15,800.1
0.006639999999999999,0.15,0.0,60.05,939.95
0.006639999999999999,0.18,0.0,33.85,966.15
0.006639999999999999,0.20999999999999996,49.9,19.0,931.1
0.006639999999999999,0.23999999999999996,49.95,9.7,940.35
0.006639999999999999,0.26999999999999996,0.0,6.8,993.2
0.006639999999999999,0.29999999999999993,0.0,3.9,996.1
0.006639999999999999,0.32999999999999996,149.8,1.65,848.55
0.006639999999999999,0.35999999999999993,49.95,1.15,948.9
0.006639999999999999,0.3899999999999999,249.7,0.5,749.8
0.006639999999999999,0.41999999999999993,199.75,0.35,799.9
0.006639999999999999,0.44999999999999996,199.75,0.3,799.95
0.007469999999999999,0.15,0.0,57.6,942.4
0.007469999999999999,0.18,0.0,30.75,969.25
0.007469999999999999,0.20999999999999996,0.0,18.05,981.95
0.007469999999999999,0.23999999999999996,0.0,10.25,989.75
0.007469999999999999,0.26999999999999996,49.95,6.05,944.0
0.007469999999999999,0.29999999999999993,49.95,3.4,946.65
0.007469999999999999,0.32999999999999996,99.85,1.8,898.35
0.007469999999999999,0.35999999999999993,49.95,1.2,948.85
0.007469999999999999,0.3899999999999999,199.75,0.5,799.75
0.007469999999999999,0.41999999999999993,199.75,0.35,799.9
0.007469999999999999,0.44999999999999996,199.75,0.3,799.95
0.008299999999999998,0.15,0.0,57.15,942.85
0.008299999999999998,0.18,0.0,32.25,967.75
0.008299999999999998,0.20999999999999996,0.0,18.8,981.2
0.008299999999999998,0.23999999999999996,49.95,9.65,940.4
0.008299999999999998,0.26999999999999996,0.0,6.5,993.5
0.008299999999999998,0.29999999999999993,0.0,3.4,996.6
0.008299999999999998,0.32999999999999996,0.0,1.85,998.15
0.008299999999999998,0.35999999999999993,49.95,0.95,949.1
0.008299999999999998,0.3899999999999999,99.9,0.85,899.25
0.008299999999999998,0.41999999999999993,49.95,0.4,949.65
0.008299999999999998,0.44999999999999996,49.95,0.25,949.8
0.00913,0.15,0.0,56.85,943.15
0.00913,0.18,49.95,30.15,919.9
0.00913,0.20999999999999996,0.0,18.55,981.45
0.00913,0.23999999999999996,0.0,10.05,989.95
0.00913,0.26999999999999996,0.0,6.45,993.55
0.00913,0.29999999999999993,49.95,3.05,947.0
0.00913,0.32999999999999996,0.0,1.85,998.15
0.00913,0.35999999999999993,49.95,0.95,949.1
0.00913,0.3899999999999999,0.0,0.55,999.45
0.00913,0.41999999999999993,0.0,0.35,999.65
0.00913,0.44999999999999996,0.0,0.25,999.75
0.009959999999999998,0.15,0.0,58.3,941.7
0.009959999999999998,0.18,0.0,31.75,968.25
0.009959999999999998,0.20999999999999996,0.0,17.65,982.35
0.009959999999999998,0.23999999999999996,0.0,9.75,990.25
0.009959999999999998,0.26999999999999996,0.0,4.8,995.2
0.009959999999999998,0.29999999999999993,49.95,2.95,947.1
0.009959999999999998,0.32999999999999996,0.0,1.8,998.2
0.009959999999999998,0.35999999999999993,49.95,0.85,949.2
0.009959999999999998,0.3899999999999999,0.0,0.55,999.45
0.009959999999999998,0.41999999999999993,0.0,0.35,999.65
0.009959999999999998,0.44999999999999996,0.0,0.25,999.75
0.010789999999999998,0.15,0.0,58.3,941.7
0.010789999999999998,0.18,0.0,31.6,968.4
0.010789999999999998,0.20999999999999996,99.9,15.2,884.9
0.010789999999999998,0.23999999999999996,49.95,9.15,940.9
0.010789999999999998,0.26999999999999996,49.95,4.45,945.6
0.010789999999999998,0.29999999999999993,0.0,3.85,996.15
0.010789999999999998,0.32999999999999996,0.0,2.1,997.9
0.010789999999999998,0.35999999999999993,0.0,1.45,998.55
0.010789999999999998,0.3899999999999999,0.0,0.6,999.4
0.010789999999999998,0.41999999999999993,0.0,0.5,999.5
0.010789999999999998,0.44999999999999996,0.0,0.25,999.75
0.011619999999999998,0.15,0.0,56.05,943.95
0.011619999999999998,0.18,0.0,30.95,969.05
0.011619999999999998,0.20999999999999996,0.0,17.2,982.8
0.011619999999999998,0.23999999999999996,0.0,10.15,989.85
