beta,gamma,Susceptible,Infected,Recovered
0.00415,0.15,0.0,1.0,0.0
0.00415,0.18,0.0,1.0,0.0
0.00415,0.20999999999999996,49.95,0.95,0.0
0.00415,0.23999999999999996,99.9,0.9,0.0
0.00415,0.26999999999999996,49.95,0.95,0.0
0.00415,0.29999999999999993,99.9,0.9,0.0
0.00415,0.32999999999999996,49.95,0.9,0.0
0.00415,0.35999999999999993,49.95,0.7,0.0
0.00415,0.3899999999999999,149.85,0.45,0.0
0.00415,0.41999999999999993,149.85,0.25,0.0
0.00415,0.44999999999999996,99.95,0.2,0.0
0.00498,0.15,0.0,1.0,0.0
0.00498,0.18,0.0,1.0,0.0
0.00498,0.20999999999999996,0.0,1.0,0.0
0.00498,0.23999999999999996,49.95,0.95,0.0
0.00498,0.26999999999999996,149.85,0.85,0.0
0.00498,0.29999999999999993,49.95,0.9,0.0
0.00498,0.32999999999999996,99.85,0.85,0.0
0.00498,0.35999999999999993,49.9,0.7,0.0
0.00498,0.3899999999999999,249.7,0.25,0.0
0.00498,0.41999999999999993,99.85,0.25,0.0
0.00498,0.44999999999999996,199.75,0.15,0.0
0.005809999999999999,0.15,0.0,1.0,0.0
0.005809999999999999,0.18,49.95,0.95,0.0
0.005809999999999999,0.20999999999999996,0.0,1.0,0.0
0.005809999999999999,0.23999999999999996,99.9,0.9,0.0
0.005809999999999999,0.26999999999999996,0.0,1.0,0.0
0.005809999999999999,0.29999999999999993,149.8,0.85,0.0
0.005809999999999999,0.32999999999999996,99.85,0.85,0.0
0.005809999999999999,0.35999999999999993,49.9,0.7,0.0
0.005809999999999999,0.3899999999999999,249.7,0.25,0.0
0.005809999999999999,0.41999999999999993,99.85,0.25,0.0
0.005809999999999999,0.44999999999999996,199.75,0.15,0.0
0.006639999999999999,0.15,0.0,1.0,0.0
0.006639999999999999,0.18,0.0,1.0,0.0
0.006639999999999999,0.20999999999999996,49.9,0.95,0.0
0.006639999999999999,0.23999999999999996,49.95,0.95,0.0
0.006639999999999999,0.26999999999999996,0.0,1.0,0.0
0.006639999999999999,0.29999999999999993,0.0,1.0,0.0
0.006639999999999999,0.32999999999999996,149.8,0.8,0.0
0.006639999999999999,0.35999999999999993,49.95,0.7,0.0
0.006639999999999999,0.3899999999999999,249.7,0.4,0.0
0.006639999999999999,0.41999999999999993,199.75,0.3,0.0
0.006639999999999999,0.44999999999999996,199.75,0.3,0.0
0.007469999999999999,0.15,0.0,1.0,0.0
0.007469999999999999,0.18,0.0,1.0,0.0
0.007469999999999999,0.20999999999999996,0.0,1.0,0.0
0.007469999999999999,0.23999999999999996,0.0,1.0,0.0
0.007469999999999999,0.26999999999999996,49.95,0.95,0.0
0.007469999999999999,0.29999999999999993,49.95,0.95,0.0
0.007469999999999999,0.32999999999999996,99.85,0.8,0.0
0.007469999999999999,0.35999999999999993,49.95,0.75,0.0
0.007469999999999999,0.3899999999999999,199.75,0.45,0.0
0.007469999999999999,0.41999999999999993,199.75,0.3,0.0
0.007469999999999999,0.44999999999999996,199.75,0.3,0.0
0.008299999999999998,0.15,0.0,1.0,0.0
0.008299999999999998,0.18,0.0,1.0,0.0
0.008299999999999998,0.20999999999999996,0.0,1.0,0.0
0.008299999999999998,0.23999999999999996,49.95,0.95,0.0
0.008299999999999998,0.26999999999999996,0.0,1.0,0.0
0.008299999999999998,0.29999999999999993,0.0,0.9,0.0
0.008299999999999998,0.32999999999999996,0.0,0.8,0.0
0.008299999999999998,0.35999999999999993,49.95,0.6,0.0
0.008299999999999998,0.3899999999999999,99.9,0.5,0.0
0.008299999999999998,0.41999999999999993,49.95,0.3,0.0
0.008299999999999998,0.44999999999999996,49.95,0.25,0.0
0.00913,0.15,0.0,1.0,0.0
0.00913,0.18,49.95,0.95,0.0
0.00913,0.20999999999999996,0.0,1.0,0.0
0.00913,0.23999999999999996,0.0,1.0,0.0
0.00913,0.26999999999999996,0.0,1.0,0.0
0.00913,0.29999999999999993,49.95,0.9,0.0
0.00913,0.32999999999999996,0.0,0.8,0.0
0.00913,0.35999999999999993,49.95,0.6,0.0
0.00913,0.3899999999999999,0.0,0.5,0.0
0.00913,0.41999999999999993,0.0,0.3,0.0
0.00913,0.44999999999999996,0.0,0.25,0.0
0.009959999999999998,0.15,0.0,1.0,0.0
0.009959999999999998,0.18,0.0,1.0,0.0
0.009959999999999998,0.20999999999999996,0.0,1.0,0.0
0.009959999999999998,0.23999999999999996,0.0,1.0,0.0
0.009959999999999998,0.26999999999999996,0.0,1.0,0.0
0.009959999999999998,0.29999999999999993,49.95,0.9,0.0
0.009959999999999998,0.32999999999999996,0.0,0.9,0.0
0.009959999999999998,0.35999999999999993,49.95,0.7,0.0
0.009959999999999998,0.3899999999999999,0.0,0.5,0.0
0.009959999999999998,0.41999999999999993,0.0,0.3,0.0
0.009959999999999998,0.44999999999999996,0.0,0.25,0.0
0.010789999999999998,0.15,0.0,1.0,0.0
0.010789999999999998,0.18,0.0,1.0,0.0
0.010789999999999998,0.20999999999999996,99.9,0.9,0.0
0.010789999999999998,0.23999999999999996,49.95,0.95,0.0
0.010789999999999998,0.26999999999999996,49.95,0.95,0.0
0.010789999999999998,0.29999999999999993,0.0,0.95,0.0
0.010789999999999998,0.32999999999999996,0.0,0.9,0.0
0.010789999999999998,0.35999999999999993,0.0,0.7,0.0
0.010789999999999998,0.3899999999999999,0.0,0.45,0.0
0.010789999999999998,0.41999999999999993,0.0,0.4,0.0
0.010789999999999998,0.44999999999999996,0.0,0.2,0.0
0.011619999999999998,0.15,0.0,1.0,0.0
0.011619999999999998,0.18,0.0,1.0,0.0
0.011619999999999998,0.20999999999999996,0.0,1.0,0.0
0.011619999999999998,0.23999999999999996,0.0,1.0,0.0
0.011619999999999998,0.26999999999999996,0.0,1.0,0.0
0.011619999999999998,0.29999999999999993,0.0,0.95,0.0
0.011619999999999998,0.32999999999999996,0.0,0.85,0.0
0.011619999999999998,0.35999999999999993,0.0,0.75,0.0
0.011619999999999998,0.3899999999999999,0.0,0.55,0.0
0.011619999999999998,0.41999999999999993,0.0,0.4,0.0
0.011619999999999998,0.44999999999999996,0.0,0.2,0.0
0.01245,0.15,0.0,1.0,0.0
0.01245,0.18,0.0,1.0,0.0
0.01245,0.20999999999999996,49.95,0.95,0.0
0.01245,0.23999999999999996,0.0,1.0,0.0
0.01245,0.26999999999999996,99.9,0.9,0.0
0.01245,0.29999999999999993,0.0,1.0,0.0
0.01245,0.32999999999999996,0.0,0.75,0.0
0.01245,0.35999999999999993,0.0,0.45,0.0
0.01245,0.3899999999999999,49.95,0.2,0.0
0.01245,0.41999999999999993,0.0,0.2,0.0
0.01245,0.44999999999999996,0.0,0.1,0.0
