beta,gamma,Susceptible,Infected,Recovered
0.00415,0.15,70078.444815625,57289.489421875005,94459.01962187499
0.00415,0.18,72992.70435500001,55864.6661496875,101967.68151281249
0.00415,0.20999999999999996,68311.8226103125,50547.285326875004,100077.96286406249
0.00415,0.23999999999999996,67948.5751128125,45196.004890937504,98153.07825312499
0.00415,0.26999999999999996,74042.88620718752,44475.82537125,105914.48233593749
0.00415,0.29999999999999993,67133.42080062498,39399.72068,98874.674893125
0.00415,0.32999999999999996,70394.41288375002,38701.676066875,103921.180711875
0.00415,0.35999999999999993,73295.85378187502,36109.355286875,105449.087851875
0.00415,0.3899999999999999,65153.83393843749,30174.861758437502,93748.05527812499
0.00415,0.41999999999999993,66180.6584078125,28157.3689865625,93923.25494312502
0.00415,0.44999999999999996,69979.8003046875,27926.448468437495,98881.00785312499
0.00498,0.15,63888.6039475,59037.16089812499,92324.638610625
0.00498,0.18,59468.5585125,57566.83889,96248.066738125
0.00498,0.20999999999999996,61260.554003125,55322.089256875,100088.81091312501
0.00498,0.23999999999999996,58486.571379375004,49672.2453921875,96424.7336490625
0.00498,0.26999999999999996,54351.9467428125,41729.68722968751,87651.255211875
0.00498,0.29999999999999993,62428.0977084375,43592.8437415625,98612.264766875
0.00498,0.32999999999999996,54822.71158156251,39144.2371771875,90543.008868125
0.00498,0.35999999999999993,62545.02704125,38415.227079375,97683.991839375
0.00498,0.3899999999999999,45344.46249125,28322.625555312494,73725.27900031251
0.00498,0.41999999999999993,58612.32158625,31933.4388740625,90652.45160281248
0.00498,0.44999999999999996,52347.784046562505,26727.06242000001,80085.2130715625
0.005809999999999999,0.15,55711.4846353125,59732.714075937496,88841.142574375
0.005809999999999999,0.18,54865.65331937499,56158.0385,90414.858785625
0.005809999999999999,0.20999999999999996,54807.45908,56587.467566875006,96181.90681625
0.005809999999999999,0.23999999999999996,49170.113094374996,48253.477551875,87333.58928375
0.005809999999999999,0.26999999999999996,56333.805886875,51045.0136340625,98455.33217656249
0.005809999999999999,0.29999999999999993,44879.24643375,40738.414998437496,81286.7611190625
0.005809999999999999,0.32999999999999996,47769.66650187499,40548.38939718751,85360.2503315625
0.005809999999999999,0.35999999999999993,54256.80077874998,39916.55814125,91443.31598000001
0.005809999999999999,0.3899999999999999,39043.0353403125,29544.387349375,68753.16887156249
0.005809999999999999,0.41999999999999993,50410.0581996875,33403.4712034375,84101.42375875
0.005809999999999999,0.44999999999999996,45296.043982187504,27939.581576874996,74223.8979021875
0.006639999999999999,0.15,49137.70823875,60443.67714281251,86418.24341343749
0.006639999999999999,0.18,48488.494657187504,59818.929582812496,90921.08385125
0.006639999999999999,0.20999999999999996,47791.828114375,54701.137714062505,89038.11534218749
0.006639999999999999,0.23999999999999996,44128.2106165625,51437.640877812504,87124.53660125002
0.006639999999999999,0.26999999999999996,47002.027466875,51285.5399396875,91669.13946031251
0.006639999999999999,0.29999999999999993,45763.86970718751,48260.726869687496,89935.71982624999
0.006639999999999999,0.32999999999999996,41536.2910040625,38740.97306437501,77280.83551968749
