beta,gamma,Susceptible,Infected,Recovered
0.00415,0.15,151707182.894611,3674130.1323926314,11950710.337915558
0.00415,0.18,136803126.25951046,3724874.083457399,27194036.77922938
0.00415,0.20999999999999996,369291781.52324915,138237480.18369532,553284902.2142997
0.00415,0.23999999999999996,818947572.4152445,229474208.64905697,1130391047.633444
0.00415,0.26999999999999996,441765747.792488,106499818.92331558,640238923.9433248
0.00415,0.29999999999999993,831180947.2569969,175622273.1108266,1184397760.0153677
0.00415,0.32999999999999996,396350942.9774744,81689129.78962329,626103658.8669935
0.00415,0.35999999999999993,491453913.4458559,71950531.49512336,684969000.428386
0.00415,0.3899999999999999,857273660.3517319,163260323.60207027,1605409353.073333
0.00415,0.41999999999999993,880233228.7979215,142484978.656579,1615593855.0680041
0.00415,0.44999999999999996,652878582.2964451,89093846.30797167,1148756234.4685273
0.00498,0.15,82204667.7969046,3682767.448022022,11342961.649499614
0.00498,0.18,61363696.929010615,2554940.385374771,11516967.709068058
0.00498,0.20999999999999996,44284173.95669044,4163599.7416063435,16999531.915714536
0.00498,0.23999999999999996,306684855.4986935,132893576.61513941,524338417.63977444
0.00498,0.26999999999999996,617613478.4630105,309764612.09624994,1390029433.1024783
0.00498,0.29999999999999993,299881979.4181123,103256276.07603046,552031779.5635036
0.00498,0.32999999999999996,439775426.15807736,174007074.81778616,949182944.4730018
0.00498,0.35999999999999993,340243901.185112,81516517.67368458,562177316.3215873
0.00498,0.3899999999999999,714314358.7262672,269788323.77890956,1825872074.9051824
0.00498,0.41999999999999993,447312235.0467868,115906018.91325101,944190734.3291576
0.00498,0.44999999999999996,773902258.1897404,181233061.94690832,1650157977.3503551
0.005809999999999999,0.15,61842614.93093516,3216533.7298320034,15395269.911303425
0.005809999999999999,0.18,282285274.58912027,170848035.45705056,450473933.2710749
0.005809999999999999,0.20999999999999996,152407114.9070424,4867767.760396982,27951836.516593248
0.005809999999999999,0.23999999999999996,418596891.3870245,263772888.76389876,890358708.0186508
0.005809999999999999,0.26999999999999996,56541643.91428419,5616011.804542522,18887712.757223763
0.005809999999999999,0.29999999999999993,407710081.0981059,296583208.46967506,1183150461.2398512
0.005809999999999999,0.32999999999999996,337415368.80691636,186253985.08846062,840117287.3827088
0.005809999999999999,0.35999999999999993,261121400.3734344,87355606.63695985,489681367.94617146
0.005809999999999999,0.3899999999999999,536236078.7084507,293853600.5003413,1589566705.9337761
0.005809999999999999,0.41999999999999993,336028552.9433853,127184216.21078475,812342746.3227955
0.005809999999999999,0.44999999999999996,578713879.5380379,197705165.8487029,1414645123.7283995
