time,Infected,Recovered,Susceptible
0.0,1.0,0.0,999.0
0.05,2.0,0.0,998.0
0.1,2.0,0.0,998.0
0.15,2.0,0.0,998.0
0.2,6.0,0.0,994.0
0.25,8.0,0.0,992.0
0.3,13.0,0.0,987.0
0.35,23.0,1.0,976.0
0.4,34.0,2.0,964.0
0.45,47.0,2.0,951.0
0.5,71.0,2.0,927.0
0.55,100.0,4.0,896.0
0.6,139.0,4.0,857.0
0.65,210.0,7.0,783.0
0.7,281.0,9.0,710.0
0.75,370.0,14.0,616.0
0.8,455.0,19.0,526.0
0.85,548.0,28.0,424.0
0.9,638.0,35.0,327.0
0.95,710.0,45.0,245.0
1.0,755.0,65.0,180.0
1.05,794.0,76.0,130.0
1.1,821.0,87.0,92.0
1.15,844.0,96.0,60.0
1.2,855.0,109.0,36.0
1.25,847.0,128.0,25.0
1.3,841.0,142.0,17.0
1.35,831.0,156.0,13.0
1.4,821.0,169.0,10.0
1.45,814.0,182.0,4.0
1.5,803.0,194.0,3.0
1.55,790.0,209.0,1.0
1.6,779.0,220.0,1.0
1.65,768.0,231.0,1.0
1.7,756.0,243.0,1.0
1.75,740.0,259.0,1.0
1.8,732.0,268.0,0.0
1.85,718.0,282.0,0.0
1.9,703.0,297.0,0.0
1.95,697.0,303.0,0.0
2.0,681.0,319.0,0.0
2.05,673.0,327.0,0.0
2.1,664.0,336.0,0.0
2.15,656.0,344.0,0.0
2.2,644.0,356.0,0.0
2.25,636.0,364.0,0.0
2.3,627.0,373.0,0.0
2.35,621.0,379.0,0.0
2.4,610.0,390.0,0.0
2.45,601.0,399.0,0.0
2.5,593.0,407.0,0.0
2.55,583.0,417.0,0.0
2.6,577.0,423.0,0.0
2.65,571.0,429.0,0.0
2.7,565.0,435.0,0.0
2.75,554.0,446.0,0.0
2.8,544.0,456.0,0.0
2.85,542.0,458.0,0.0
2.9,535.0,465.0,0.0
2.95,527.0,473.0,0.0
3.0,515.0,485.0,0.0
3.05,507.0,493.0,0.0
3.1,494.0,506.0,0.0
3.15,482.0,518.0,0.0
3.2,474.0,526.0,0.0
3.25,471.0,529.0,0.0
3.3,467.0,533.0,0.0
3.35,462.0,538.0,0.0
3.4,454.0,546.0,0.0
3.45,451.0,549.0,0.0
3.5,444.0,556.0,0.0
3.55,439.0,561.0,0.0
3.6,435.0,565.0,0.0
3.65,430.0,570.0,0.0
3.7,425.0,575.0,0.0
3.75,419.0,581.0,0.0
3.8,407.0,593.0,0.0
3.85,402.0,598.0,0.0
3.9,399.0,601.0,0.0
3.95,395.0,605.0,0.0
4.0,392.0,608.0,0.0
4.05,387.0,613.0,0.0
4.1,379.0,621.0,0.0
4.15,374.0,626.0,0.0
4.2,370.0,630.0,0.0
4.25,363.0,637.0,0.0
4.3,357.0,643.0,0.0
4.35,353.0,647.0,0.0
4.4,346.0,654.0,0.0
4.45,343.0,657.0,0.0
4.5,340.0,660.0,0.0
4.55,335.0,665.0,0.0
4.6,330.0,670.0,0.0
4.65,324.0,676.0,0.0
4.7,317.0,683.0,0.0
4.75,314.0,686.0,0.0
