beta,gamma,Infected,Recovered,Susceptible
0.004,0.1,152.4,797.65,49.95
0.004,0.1285714285714286,93.45,906.55,0.0
0.004,0.15714285714285714,59.05,940.95,0.0
0.004,0.18571428571428572,34.1,915.95,49.95
0.004,0.2142857142857143,20.75,979.25,0.0
0.004,0.24285714285714288,12.55,887.55,99.9
0.004,0.27142857142857146,5.15,795.05,199.8
0.004,0.30000000000000004,3.35,846.8,149.85
0.004,0.3285714285714286,2.25,947.75,50.0
0.004,0.3571428571428572,1.05,948.9,50.05
0.004,0.3857142857142858,0.6,949.3,50.1
0.004,0.41428571428571437,0.3,899.6,100.1
0.004,0.44285714285714284,0.25,949.45,50.3
0.004,0.4714285714285714,0.05,849.65,150.3
0.004,0.5,0.05,799.5,200.45
0.004642857142857143,0.1,155.6,844.4,0.0
0.004642857142857143,0.1285714285714286,90.15,909.85,0.0
0.004642857142857143,0.15714285714285714,50.05,850.05,99.9
0.004642857142857143,0.18571428571428572,33.5,966.5,0.0
0.004642857142857143,0.2142857142857143,20.8,979.2,0.0
0.004642857142857143,0.24285714285714288,10.5,939.55,49.95
0.004642857142857143,0.27142857142857146,6.8,993.2,0.0
0.004642857142857143,0.30000000000000004,4.0,946.05,49.95
0.004642857142857143,0.3285714285714286,2.7,947.35,49.95
0.004642857142857143,0.3571428571428572,1.4,898.7,99.9
0.004642857142857143,0.3857142857142858,0.7,799.5,199.8
0.004642857142857143,0.41428571428571437,0.65,899.45,99.9
0.004642857142857143,0.44285714285714284,0.3,949.75,49.95
0.004642857142857143,0.4714285714285714,0.2,949.85,49.95
0.004642857142857143,0.5,0.15,999.8,0.05
0.005285714285714286,0.1,153.05,846.95,0.0
0.005285714285714286,0.1285714285714286,88.4,911.6,0.0
0.005285714285714286,0.15714285714285714,48.25,851.85,99.9
0.005285714285714286,0.18571428571428572,33.15,966.85,0.0
0.005285714285714286,0.2142857142857143,18.7,981.3,0.0
0.005285714285714286,0.24285714285714288,10.0,890.1,99.9
0.005285714285714286,0.27142857142857146,5.8,944.25,49.95
0.005285714285714286,0.30000000000000004,3.45,996.55,0.0
0.005285714285714286,0.3285714285714286,2.0,948.05,49.95
0.005285714285714286,0.3571428571428572,1.0,899.1,99.9
0.005285714285714286,0.3857142857142858,0.75,949.3,49.95
0.005285714285714286,0.41428571428571437,0.4,999.6,0.0
0.005285714285714286,0.44285714285714284,0.2,949.85,49.95
0.005285714285714286,0.4714285714285714,0.15,949.9,49.95
0.005285714285714286,0.5,0.0,950.05,49.95
0.005928571428571429,0.1,153.55,846.45,0.0
0.005928571428571429,0.1285714285714286,90.0,910.0,0.0
0.005928571428571429,0.15714285714285714,52.8,947.2,0.0
0.005928571428571429,0.18571428571428572,28.4,921.65,49.95
0.005928571428571429,0.2142857142857143,15.65,884.45,99.9
0.005928571428571429,0.24285714285714288,9.45,890.7,99.85
0.005928571428571429,0.27142857142857146,4.95,895.15,99.9
0.005928571428571429,0.30000000000000004,2.7,947.35,49.95
0.005928571428571429,0.3285714285714286,2.05,997.95,0.0
0.005928571428571429,0.3571428571428572,1.2,898.95,99.85
0.005928571428571429,0.3857142857142858,0.95,899.15,99.9
0.005928571428571429,0.41428571428571437,0.65,899.45,99.9
0.005928571428571429,0.44285714285714284,0.6,899.55,99.85
0.005928571428571429,0.4714285714285714,0.35,899.8,99.85
0.005928571428571429,0.5,0.15,800.15,199.7
0.006571428571428572,0.1,149.75,850.25,0.0
0.006571428571428572,0.1285714285714286,83.2,866.85,49.95
0.006571428571428572,0.15714285714285714,49.85,950.15,0.0
0.006571428571428572,0.18571428571428572,31.45,968.55,0.0
0.006571428571428572,0.2142857142857143,18.2,981.8,0.0
0.006571428571428572,0.24285714285714288,10.25,989.75,0.0
0.006571428571428572,0.27142857142857146,6.0,994.0,0.0
0.006571428571428572,0.30000000000000004,3.5,996.5,0.0
0.006571428571428572,0.3285714285714286,1.9,898.2,99.9
0.006571428571428572,0.3571428571428572,1.4,948.65,49.95
0.006571428571428572,0.3857142857142858,0.95,899.15,99.9
0.006571428571428572,0.41428571428571437,0.65,899.45,99.9
0.006571428571428572,0.44285714285714284,0.55,899.6,99.85
0.006571428571428572,0.4714285714285714,0.1,900.0,99.9
0.006571428571428572,0.5,0.0,900.1,99.9
0.007214285714285715,0.1,153.3,846.7,0.0
0.007214285714285715,0.1285714285714286,87.25,912.75,0.0
0.007214285714285715,0.15714285714285714,48.0,902.05,49.95
0.007214285714285715,0.18571428571428572,26.15,923.9,49.95
0.007214285714285715,0.2142857142857143,16.1,884.0,99.9
0.007214285714285715,0.24285714285714288,10.35,889.75,99.9
0.007214285714285715,0.27142857142857146,5.6,944.45,49.95
0.007214285714285715,0.30000000000000004,4.25,995.75,0.0
0.007214285714285715,0.3285714285714286,2.05,948.0,49.95
0.007214285714285715,0.3571428571428572,1.4,998.6,0.0
0.007214285714285715,0.3857142857142858,0.85,949.2,49.95
0.007214285714285715,0.41428571428571437,0.4,899.7,99.9
0.007214285714285715,0.44285714285714284,0.2,899.9,99.9
0.007214285714285715,0.4714285714285714,0.1,900.0,99.9
0.007214285714285715,0.5,0.0,900.1,99.9
0.007857142857142858,0.1,142.35,807.7,49.95
0.007857142857142858,0.1285714285714286,85.95,914.05,0.0
0.007857142857142858,0.15714285714285714,49.25,950.75,0.0
0.007857142857142858,0.18571428571428572,28.05,971.95,0.0
0.007857142857142858,0.2142857142857143,15.2,884.9,99.9
0.007857142857142858,0.24285714285714288,9.55,940.5,49.95
0.007857142857142858,0.27142857142857146,5.05,895.05,99.9
0.007857142857142858,0.30000000000000004,3.25,996.75,0.0
0.007857142857142858,0.3285714285714286,1.7,998.3,0.0
0.007857142857142858,0.3571428571428572,1.15,998.85,0.0
0.007857142857142858,0.3857142857142858,0.9,999.1,0.0
0.007857142857142858,0.41428571428571437,0.45,949.6,49.95
0.007857142857142858,0.44285714285714284,0.25,999.75,0.0
0.007857142857142858,0.4714285714285714,0.2,999.8,0.0
0.007857142857142858,0.5,0.1,999.9,0.0
0.0085,0.1,146.05,853.95,0.0
0.0085,0.1285714285714286,87.0,913.0,0.0
0.0085,0.15714285714285714,48.6,951.4,0.0
0.0085,0.18571428571428572,26.85,973.15,0.0
0.0085,0.2142857142857143,16.05,934.0,49.95
0.0085,0.24285714285714288,9.3,940.75,49.95
0.0085,0.27142857142857146,5.5,994.5,0.0
0.0085,0.30000000000000004,3.35,996.65,0.0
0.0085,0.3285714285714286,1.8,948.25,49.95
0.0085,0.3571428571428572,1.3,998.7,0.0
0.0085,0.3857142857142858,0.5,999.5,0.0
0.0085,0.41428571428571437,0.2,949.85,49.95
0.0085,0.44285714285714284,0.05,950.0,49.95
0.0085,0.4714285714285714,0.05,950.0,49.95
0.0085,0.5,0.0,950.05,49.95
0.009142857142857144,0.1,141.85,858.15,0.0
0.009142857142857144,0.1285714285714286,84.4,915.6,0.0
0.009142857142857144,0.15714285714285714,49.3,950.7,0.0
0.009142857142857144,0.18571428571428572,28.75,971.25,0.0
0.009142857142857144,0.2142857142857143,16.35,983.65,0.0
0.009142857142857144,0.24285714285714288,10.6,989.4,0.0
0.009142857142857144,0.27142857142857146,5.5,994.5,0.0
0.009142857142857144,0.30000000000000004,3.35,996.65,0.0
0.009142857142857144,0.3285714285714286,1.75,998.25,0.0
0.009142857142857144,0.3571428571428572,1.3,998.7,0.0
0.009142857142857144,0.3857142857142858,0.7,999.3,0.0
0.009142857142857144,0.41428571428571437,0.35,999.65,0.0
0.009142857142857144,0.44285714285714284,0.2,999.8,0.0
0.009142857142857144,0.4714285714285714,0.15,949.9,49.95
0.009142857142857144,0.5,0.1,949.95,49.95
0.009785714285714286,0.1,131.7,768.4,99.9
0.009785714285714286,0.1285714285714286,85.5,914.5,0.0
0.009785714285714286,0.15714285714285714,46.6,903.45,49.95
0.009785714285714286,0.18571428571428572,29.65,970.35,0.0
0.009785714285714286,0.2142857142857143,16.8,983.2,0.0
0.009785714285714286,0.24285714285714288,9.5,990.5,0.0
0.009785714285714286,0.27142857142857146,6.05,944.0,49.95
0.009785714285714286,0.30000000000000004,2.9,947.15,49.95
0.009785714285714286,0.3285714285714286,1.7,948.35,49.95
0.009785714285714286,0.3571428571428572,1.1,948.95,49.95
0.009785714285714286,0.3857142857142858,0.7,999.3,0.0
0.009785714285714286,0.41428571428571437,0.35,999.65,0.0
0.009785714285714286,0.44285714285714284,0.2,999.8,0.0
0.009785714285714286,0.4714285714285714,0.15,999.85,0.0
0.009785714285714286,0.5,0.05,999.95,0.0
0.01042857142857143,0.1,144.1,855.9,0.0
0.01042857142857143,0.1285714285714286,83.55,916.45,0.0
0.01042857142857143,0.15714285714285714,47.65,952.35,0.0
0.01042857142857143,0.18571428571428572,25.5,924.55,49.95
0.01042857142857143,0.2142857142857143,17.0,983.0,0.0
0.01042857142857143,0.24285714285714288,8.9,991.1,0.0
0.01042857142857143,0.27142857142857146,5.0,995.0,0.0
0.01042857142857143,0.30000000000000004,2.6,997.4,0.0
0.01042857142857143,0.3285714285714286,1.6,948.45,49.95
0.01042857142857143,0.3571428571428572,0.8,949.25,49.95
0.01042857142857143,0.3857142857142858,0.6,949.45,49.95
0.01042857142857143,0.41428571428571437,0.3,999.7,0.0
0.01042857142857143,0.44285714285714284,0.15,999.85,0.0
0.01042857142857143,0.4714285714285714,0.05,999.95,0.0
0.01042857142857143,0.5,0.05,999.95,0.0
0.011071428571428572,0.1,143.65,856.35,0.0
0.011071428571428572,0.1285714285714286,78.45,871.6,49.95
0.011071428571428572,0.15714285714285714,47.65,952.35,0.0
0.011071428571428572,0.18571428571428572,26.0,974.0,0.0
0.011071428571428572,0.2142857142857143,15.7,984.3,0.0
0.011071428571428572,0.24285714285714288,7.85,942.2,49.95
0.011071428571428572,0.27142857142857146,4.25,945.8,49.95
0.011071428571428572,0.30000000000000004,2.55,997.45,0.0
0.011071428571428572,0.3285714285714286,1.75,998.25,0.0
0.011071428571428572,0.3571428571428572,1.1,998.9,0.0
0.011071428571428572,0.3857142857142858,0.6,999.4,0.0
0.011071428571428572,0.41428571428571437,0.45,999.55,0.0
0.011071428571428572,0.44285714285714284,0.35,999.65,0.0
0.011071428571428572,0.4714285714285714,0.15,999.85,0.0
0.011071428571428572,0.5,0.15,999.85,0.0
0.011714285714285714,0.1,139.5,860.5,0.0
0.011714285714285714,0.1285714285714286,82.8,917.2,0.0
0.011714285714285714,0.15714285714285714,47.6,952.4,0.0
0.011714285714285714,0.18571428571428572,25.95,974.05,0.0
0.011714285714285714,0.2142857142857143,15.7,984.3,0.0
0.011714285714285714,0.24285714285714288,8.15,991.85,0.0
0.011714285714285714,0.27142857142857146,4.25,945.8,49.95
0.011714285714285714,0.30000000000000004,3.05,947.0,49.95
0.011714285714285714,0.3285714285714286,1.75,998.25,0.0
0.011714285714285714,0.3571428571428572,1.1,899.0,99.9
0.011714285714285714,0.3857142857142858,0.7,949.35,49.95
0.011714285714285714,0.41428571428571437,0.2,849.95,149.85
0.011714285714285714,0.44285714285714284,0.05,850.1,149.85
0.011714285714285714,0.4714285714285714,0.05,850.1,149.85
0.011714285714285714,0.5,0.0,850.15,149.85
0.012357142857142856,0.1,144.65,855.35,0.0
0.012357142857142856,0.1285714285714286,85.15,914.85,0.0
0.012357142857142856,0.15714285714285714,48.25,951.75,0.0
0.012357142857142856,0.18571428571428572,25.7,924.35,49.95
0.012357142857142856,0.2142857142857143,16.55,983.45,0.0
0.012357142857142856,0.24285714285714288,8.2,991.8,0.0
0.012357142857142856,0.27142857142857146,5.05,945.0,49.95
0.012357142857142856,0.30000000000000004,3.05,947.0,49.95
0.012357142857142856,0.3285714285714286,1.7,998.3,0.0
0.012357142857142856,0.3571428571428572,1.1,899.0,99.9
0.012357142857142856,0.3857142857142858,0.7,949.35,49.95
0.012357142857142856,0.41428571428571437,0.15,850.0,149.85
0.012357142857142856,0.44285714285714284,0.25,899.85,99.9
0.012357142857142856,0.4714285714285714,0.15,899.95,99.9
0.012357142857142856,0.5,0.05,900.05,99.9
0.013,0.1,140.25,859.75,0.0
0.013,0.1285714285714286,79.1,920.9,0.0
0.013,0.15714285714285714,48.25,951.75,0.0
0.013,0.18571428571428572,24.9,925.15,49.95
0.013,0.2142857142857143,13.85,936.2,49.95
0.013,0.24285714285714288,9.6,990.4,0.0
0.013,0.27142857142857146,4.7,995.3,0.0
0.013,0.30000000000000004,3.3,996.7,0.0
0.013,0.3285714285714286,1.95,998.05,0.0
0.013,0.3571428571428572,1.15,998.85,0.0
0.013,0.3857142857142858,0.4,899.7,99.9
0.013,0.41428571428571437,0.35,899.75,99.9
0.013,0.44285714285714284,0.25,899.85,99.9
0.013,0.4714285714285714,0.15,899.95,99.9
0.013,0.5,0.05,900.05,99.9
