beta,gamma,Infected,Recovered,Susceptible
0.004,0.1,177.0,868.0,999.0
0.004,0.1285714285714286,119.0,926.0,0.0
0.004,0.15714285714285714,74.0,949.0,0.0
0.004,0.18571428571428572,51.0,974.0,999.0
0.004,0.2142857142857143,31.0,986.0,0.0
0.004,0.24285714285714288,21.0,989.0,999.0
0.004,0.27142857142857146,13.0,998.0,999.0
0.004,0.30000000000000004,8.0,998.0,999.0
0.004,0.3285714285714286,4.0,1000.0,999.0
0.004,0.3571428571428572,2.0,1000.0,999.0
0.004,0.3857142857142858,3.0,1000.0,999.0
0.004,0.41428571428571437,2.0,1000.0,999.0
0.004,0.44285714285714284,1.0,1000.0,999.0
0.004,0.4714285714285714,1.0,1000.0,999.0
0.004,0.5,1.0,1000.0,999.0
0.004642857142857143,0.1,171.0,871.0,0.0
0.004642857142857143,0.1285714285714286,113.0,929.0,0.0
0.004642857142857143,0.15714285714285714,71.0,957.0,999.0
0.004642857142857143,0.18571428571428572,45.0,978.0,0.0
0.004642857142857143,0.2142857142857143,28.0,986.0,0.0
0.004642857142857143,0.24285714285714288,20.0,996.0,999.0
0.004642857142857143,0.27142857142857146,13.0,997.0,0.0
0.004642857142857143,0.30000000000000004,8.0,999.0,999.0
0.004642857142857143,0.3285714285714286,6.0,1000.0,999.0
0.004642857142857143,0.3571428571428572,4.0,1000.0,999.0
0.004642857142857143,0.3857142857142858,2.0,1000.0,999.0
0.004642857142857143,0.41428571428571437,2.0,1000.0,999.0
0.004642857142857143,0.44285714285714284,2.0,1000.0,999.0
0.004642857142857143,0.4714285714285714,2.0,1000.0,999.0
0.004642857142857143,0.5,1.0,1000.0,1.0
0.005285714285714286,0.1,175.0,866.0,0.0
0.005285714285714286,0.1285714285714286,100.0,929.0,0.0
0.005285714285714286,0.15714285714285714,75.0,957.0,999.0
0.005285714285714286,0.18571428571428572,44.0,978.0,0.0
0.005285714285714286,0.2142857142857143,26.0,988.0,0.0
0.005285714285714286,0.24285714285714288,17.0,994.0,999.0
0.005285714285714286,0.27142857142857146,12.0,998.0,999.0
0.005285714285714286,0.30000000000000004,9.0,1000.0,0.0
0.005285714285714286,0.3285714285714286,6.0,1000.0,999.0
0.005285714285714286,0.3571428571428572,4.0,1000.0,999.0
0.005285714285714286,0.3857142857142858,2.0,1000.0,999.0
0.005285714285714286,0.41428571428571437,2.0,1000.0,0.0
0.005285714285714286,0.44285714285714284,1.0,1000.0,999.0
0.005285714285714286,0.4714285714285714,1.0,1000.0,999.0
0.005285714285714286,0.5,0.0,1000.0,999.0
0.005928571428571429,0.1,178.0,869.0,0.0
0.005928571428571429,0.1285714285714286,101.0,929.0,0.0
0.005928571428571429,0.15714285714285714,62.0,965.0,0.0
0.005928571428571429,0.18571428571428572,36.0,979.0,999.0
0.005928571428571429,0.2142857142857143,29.0,994.0,999.0
0.005928571428571429,0.24285714285714288,15.0,994.0,999.0
0.005928571428571429,0.27142857142857146,10.0,998.0,999.0
0.005928571428571429,0.30000000000000004,8.0,1000.0,999.0
0.005928571428571429,0.3285714285714286,5.0,1000.0,0.0
0.005928571428571429,0.3571428571428572,2.0,1000.0,999.0
0.005928571428571429,0.3857142857142858,3.0,1000.0,999.0
0.005928571428571429,0.41428571428571437,3.0,1000.0,999.0
0.005928571428571429,0.44285714285714284,2.0,1000.0,999.0
0.005928571428571429,0.4714285714285714,2.0,1000.0,999.0
0.005928571428571429,0.5,2.0,1000.0,999.0
0.006571428571428572,0.1,166.0,866.0,0.0
0.006571428571428572,0.1285714285714286,103.0,927.0,999.0
0.006571428571428572,0.15714285714285714,64.0,967.0,0.0
0.006571428571428572,0.18571428571428572,39.0,978.0,0.0
0.006571428571428572,0.2142857142857143,28.0,989.0,0.0
0.006571428571428572,0.24285714285714288,14.0,995.0,0.0
0.006571428571428572,0.27142857142857146,10.0,998.0,0.0
0.006571428571428572,0.30000000000000004,6.0,1000.0,0.0
0.006571428571428572,0.3285714285714286,4.0,1000.0,999.0
0.006571428571428572,0.3571428571428572,3.0,1000.0,999.0
0.006571428571428572,0.3857142857142858,3.0,1000.0,999.0
0.006571428571428572,0.41428571428571437,3.0,1000.0,999.0
0.006571428571428572,0.44285714285714284,2.0,1000.0,999.0
0.006571428571428572,0.4714285714285714,1.0,1000.0,999.0
0.006571428571428572,0.5,0.0,1000.0,999.0
0.007214285714285715,0.1,181.0,862.0,0.0
0.007214285714285715,0.1285714285714286,108.0,931.0,0.0
0.007214285714285715,0.15714285714285714,60.0,958.0,999.0
0.007214285714285715,0.18571428571428572,43.0,982.0,999.0
0.007214285714285715,0.2142857142857143,29.0,987.0,999.0
0.007214285714285715,0.24285714285714288,17.0,996.0,999.0
0.007214285714285715,0.27142857142857146,10.0,998.0,999.0
0.007214285714285715,0.30000000000000004,8.0,999.0,0.0
0.007214285714285715,0.3285714285714286,5.0,1000.0,999.0
0.007214285714285715,0.3571428571428572,3.0,1000.0,0.0
0.007214285714285715,0.3857142857142858,4.0,1000.0,999.0
0.007214285714285715,0.41428571428571437,1.0,1000.0,999.0
0.007214285714285715,0.44285714285714284,1.0,1000.0,999.0
0.007214285714285715,0.4714285714285714,1.0,1000.0,999.0
0.007214285714285715,0.5,0.0,1000.0,999.0
0.007857142857142858,0.1,170.0,870.0,999.0
0.007857142857142858,0.1285714285714286,107.0,931.0,0.0
0.007857142857142858,0.15714285714285714,61.0,965.0,0.0
0.007857142857142858,0.18571428571428572,38.0,981.0,0.0
0.007857142857142858,0.2142857142857143,23.0,988.0,999.0
0.007857142857142858,0.24285714285714288,16.0,995.0,999.0
0.007857142857142858,0.27142857142857146,12.0,999.0,999.0
0.007857142857142858,0.30000000000000004,7.0,1000.0,0.0
0.007857142857142858,0.3285714285714286,5.0,1000.0,0.0
0.007857142857142858,0.3571428571428572,4.0,1000.0,0.0
0.007857142857142858,0.3857142857142858,5.0,1000.0,0.0
0.007857142857142858,0.41428571428571437,2.0,1000.0,999.0
0.007857142857142858,0.44285714285714284,2.0,1000.0,0.0
0.007857142857142858,0.4714285714285714,2.0,1000.0,0.0
0.007857142857142858,0.5,1.0,1000.0,0.0
0.0085,0.1,160.0,867.0,0.0
0.0085,0.1285714285714286,104.0,931.0,0.0
0.0085,0.15714285714285714,62.0,969.0,0.0
0.0085,0.18571428571428572,35.0,982.0,0.0
0.0085,0.2142857142857143,25.0,989.0,999.0
0.0085,0.24285714285714288,16.0,996.0,999.0
0.0085,0.27142857142857146,9.0,999.0,0.0
0.0085,0.30000000000000004,7.0,1000.0,0.0
0.0085,0.3285714285714286,4.0,1000.0,999.0
0.0085,0.3571428571428572,3.0,1000.0,0.0
0.0085,0.3857142857142858,2.0,1000.0,0.0
0.0085,0.41428571428571437,1.0,1000.0,999.0
0.0085,0.44285714285714284,1.0,1000.0,999.0
0.0085,0.4714285714285714,1.0,1000.0,999.0
0.0085,0.5,0.0,1000.0,999.0
0.009142857142857144,0.1,161.0,889.0,0.0
0.009142857142857144,0.1285714285714286,105.0,933.0,0.0
0.009142857142857144,0.15714285714285714,63.0,965.0,0.0
0.009142857142857144,0.18571428571428572,35.0,976.0,0.0
0.009142857142857144,0.2142857142857143,23.0,993.0,0.0
0.009142857142857144,0.24285714285714288,20.0,994.0,0.0
0.009142857142857144,0.27142857142857146,9.0,999.0,0.0
0.009142857142857144,0.30000000000000004,8.0,1000.0,0.0
0.009142857142857144,0.3285714285714286,4.0,1000.0,0.0
0.009142857142857144,0.3571428571428572,3.0,1000.0,0.0
0.009142857142857144,0.3857142857142858,2.0,1000.0,0.0
0.009142857142857144,0.41428571428571437,2.0,1000.0,0.0
0.009142857142857144,0.44285714285714284,2.0,1000.0,0.0
0.009142857142857144,0.4714285714285714,1.0,1000.0,999.0
0.009142857142857144,0.5,1.0,1000.0,999.0
0.009785714285714286,0.1,167.0,874.0,999.0
0.009785714285714286,0.1285714285714286,104.0,931.0,0.0
0.009785714285714286,0.15714285714285714,64.0,964.0,999.0
0.009785714285714286,0.18571428571428572,39.0,979.0,0.0
0.009785714285714286,0.2142857142857143,23.0,990.0,0.0
0.009785714285714286,0.24285714285714288,12.0,996.0,0.0
0.009785714285714286,0.27142857142857146,10.0,997.0,999.0
0.009785714285714286,0.30000000000000004,6.0,999.0,999.0
0.009785714285714286,0.3285714285714286,4.0,1000.0,999.0
0.009785714285714286,0.3571428571428572,4.0,1000.0,999.0
0.009785714285714286,0.3857142857142858,2.0,1000.0,0.0
0.009785714285714286,0.41428571428571437,2.0,1000.0,0.0
0.009785714285714286,0.44285714285714284,2.0,1000.0,0.0
0.009785714285714286,0.4714285714285714,1.0,1000.0,0.0
0.009785714285714286,0.5,1.0,1000.0,0.0
0.01042857142857143,0.1,160.0,878.0,0.0
0.01042857142857143,0.1285714285714286,97.0,932.0,0.0
0.01042857142857143,0.15714285714285714,65.0,966.0,0.0
0.01042857142857143,0.18571428571428572,36.0,983.0,999.0
0.01042857142857143,0.2142857142857143,25.0,990.0,0.0
0.01042857142857143,0.24285714285714288,13.0,996.0,0.0
0.01042857142857143,0.27142857142857146,8.0,999.0,0.0
0.01042857142857143,0.30000000000000004,6.0,999.0,0.0
0.01042857142857143,0.3285714285714286,5.0,1000.0,999.0
0.01042857142857143,0.3571428571428572,3.0,1000.0,999.0
0.01042857142857143,0.3857142857142858,3.0,1000.0,999.0
0.01042857142857143,0.41428571428571437,2.0,1000.0,0.0
0.01042857142857143,0.44285714285714284,1.0,1000.0,0.0
0.01042857142857143,0.4714285714285714,1.0,1000.0,0.0
0.01042857142857143,0.5,1.0,1000.0,0.0
0.011071428571428572,0.1,159.0,878.0,0.0
0.011071428571428572,0.1285714285714286,98.0,930.0,999.0
0.011071428571428572,0.15714285714285714,65.0,966.0,0.0
0.011071428571428572,0.18571428571428572,41.0,981.0,0.0
0.011071428571428572,0.2142857142857143,25.0,993.0,0.0
0.011071428571428572,0.24285714285714288,13.0,996.0,999.0
0.011071428571428572,0.27142857142857146,7.0,999.0,999.0
0.011071428571428572,0.30000000000000004,5.0,999.0,0.0
0.011071428571428572,0.3285714285714286,4.0,1000.0,0.0
0.011071428571428572,0.3571428571428572,3.0,1000.0,0.0
0.011071428571428572,0.3857142857142858,2.0,1000.0,0.0
0.011071428571428572,0.41428571428571437,2.0,1000.0,0.0
