beta,gamma,Infected,Recovered,Susceptible
0.004,0.1,0.0,1.0,0.0
0.004,0.1285714285714286,74.0,881.0,0.0
0.004,0.15714285714285714,51.0,926.0,0.0
0.004,0.18571428571428572,0.0,1.0,0.0
0.004,0.2142857142857143,14.0,969.0,0.0
0.004,0.24285714285714288,0.0,1.0,0.0
0.004,0.27142857142857146,0.0,1.0,0.0
0.004,0.30000000000000004,0.0,1.0,0.0
0.004,0.3285714285714286,0.0,1.0,0.0
0.004,0.3571428571428572,0.0,1.0,0.0
0.004,0.3857142857142858,0.0,1.0,0.0
0.004,0.41428571428571437,0.0,1.0,0.0
0.004,0.44285714285714284,0.0,1.0,0.0
0.004,0.4714285714285714,0.0,1.0,0.0
0.004,0.5,0.0,1.0,0.0
0.004642857142857143,0.1,129.0,829.0,0.0
0.004642857142857143,0.1285714285714286,71.0,887.0,0.0
0.004642857142857143,0.15714285714285714,0.0,1.0,0.0
0.004642857142857143,0.18571428571428572,22.0,955.0,0.0
0.004642857142857143,0.2142857142857143,14.0,972.0,0.0
0.004642857142857143,0.24285714285714288,0.0,1.0,0.0
0.004642857142857143,0.27142857142857146,3.0,987.0,0.0
0.004642857142857143,0.30000000000000004,0.0,1.0,0.0
0.004642857142857143,0.3285714285714286,0.0,1.0,0.0
0.004642857142857143,0.3571428571428572,0.0,1.0,0.0
0.004642857142857143,0.3857142857142858,0.0,1.0,0.0
0.004642857142857143,0.41428571428571437,0.0,1.0,0.0
0.004642857142857143,0.44285714285714284,0.0,1.0,0.0
0.004642857142857143,0.4714285714285714,0.0,1.0,0.0
0.004642857142857143,0.5,0.0,999.0,0.0
0.005285714285714286,0.1,134.0,825.0,0.0
0.005285714285714286,0.1285714285714286,71.0,900.0,0.0
0.005285714285714286,0.15714285714285714,0.0,1.0,0.0
0.005285714285714286,0.18571428571428572,22.0,956.0,0.0
0.005285714285714286,0.2142857142857143,12.0,974.0,0.0
0.005285714285714286,0.24285714285714288,0.0,1.0,0.0
0.005285714285714286,0.27142857142857146,0.0,1.0,0.0
0.005285714285714286,0.30000000000000004,0.0,991.0,0.0
0.005285714285714286,0.3285714285714286,0.0,1.0,0.0
0.005285714285714286,0.3571428571428572,0.0,1.0,0.0
0.005285714285714286,0.3857142857142858,0.0,1.0,0.0
0.005285714285714286,0.41428571428571437,0.0,998.0,0.0
0.005285714285714286,0.44285714285714284,0.0,1.0,0.0
0.005285714285714286,0.4714285714285714,0.0,1.0,0.0
0.005285714285714286,0.5,0.0,1.0,0.0
0.005928571428571429,0.1,131.0,822.0,0.0
0.005928571428571429,0.1285714285714286,71.0,899.0,0.0
0.005928571428571429,0.15714285714285714,35.0,938.0,0.0
0.005928571428571429,0.18571428571428572,0.0,1.0,0.0
0.005928571428571429,0.2142857142857143,0.0,1.0,0.0
0.005928571428571429,0.24285714285714288,0.0,1.0,0.0
0.005928571428571429,0.27142857142857146,0.0,1.0,0.0
0.005928571428571429,0.30000000000000004,0.0,1.0,0.0
0.005928571428571429,0.3285714285714286,0.0,995.0,0.0
0.005928571428571429,0.3571428571428572,0.0,1.0,0.0
0.005928571428571429,0.3857142857142858,0.0,1.0,0.0
0.005928571428571429,0.41428571428571437,0.0,1.0,0.0
0.005928571428571429,0.44285714285714284,0.0,1.0,0.0
0.005928571428571429,0.4714285714285714,0.0,1.0,0.0
0.005928571428571429,0.5,0.0,1.0,0.0
0.006571428571428572,0.1,134.0,834.0,0.0
0.006571428571428572,0.1285714285714286,0.0,1.0,0.0
0.006571428571428572,0.15714285714285714,33.0,936.0,0.0
0.006571428571428572,0.18571428571428572,22.0,961.0,0.0
0.006571428571428572,0.2142857142857143,11.0,972.0,0.0
0.006571428571428572,0.24285714285714288,5.0,986.0,0.0
0.006571428571428572,0.27142857142857146,2.0,990.0,0.0
0.006571428571428572,0.30000000000000004,0.0,994.0,0.0
0.006571428571428572,0.3285714285714286,0.0,1.0,0.0
0.006571428571428572,0.3571428571428572,0.0,1.0,0.0
0.006571428571428572,0.3857142857142858,0.0,1.0,0.0
0.006571428571428572,0.41428571428571437,0.0,1.0,0.0
0.006571428571428572,0.44285714285714284,0.0,1.0,0.0
0.006571428571428572,0.4714285714285714,0.0,1.0,0.0
0.006571428571428572,0.5,0.0,1.0,0.0
0.007214285714285715,0.1,138.0,819.0,0.0
0.007214285714285715,0.1285714285714286,69.0,892.0,0.0
0.007214285714285715,0.15714285714285714,0.0,1.0,0.0
0.007214285714285715,0.18571428571428572,0.0,1.0,0.0
0.007214285714285715,0.2142857142857143,0.0,1.0,0.0
0.007214285714285715,0.24285714285714288,0.0,1.0,0.0
0.007214285714285715,0.27142857142857146,0.0,1.0,0.0
0.007214285714285715,0.30000000000000004,1.0,992.0,0.0
0.007214285714285715,0.3285714285714286,0.0,1.0,0.0
0.007214285714285715,0.3571428571428572,0.0,997.0,0.0
0.007214285714285715,0.3857142857142858,0.0,1.0,0.0
0.007214285714285715,0.41428571428571437,0.0,1.0,0.0
0.007214285714285715,0.44285714285714284,0.0,1.0,0.0
0.007214285714285715,0.4714285714285714,0.0,1.0,0.0
0.007214285714285715,0.5,0.0,1.0,0.0
0.007857142857142858,0.1,0.0,1.0,0.0
0.007857142857142858,0.1285714285714286,69.0,893.0,0.0
0.007857142857142858,0.15714285714285714,35.0,939.0,0.0
0.007857142857142858,0.18571428571428572,19.0,962.0,0.0
0.007857142857142858,0.2142857142857143,0.0,1.0,0.0
0.007857142857142858,0.24285714285714288,0.0,1.0,0.0
0.007857142857142858,0.27142857142857146,0.0,1.0,0.0
0.007857142857142858,0.30000000000000004,0.0,993.0,0.0
0.007857142857142858,0.3285714285714286,0.0,995.0,0.0
0.007857142857142858,0.3571428571428572,0.0,996.0,0.0
0.007857142857142858,0.3857142857142858,0.0,995.0,0.0
0.007857142857142858,0.41428571428571437,0.0,1.0,0.0
0.007857142857142858,0.44285714285714284,0.0,998.0,0.0
0.007857142857142858,0.4714285714285714,0.0,998.0,0.0
0.007857142857142858,0.5,0.0,999.0,0.0
0.0085,0.1,133.0,840.0,0.0
0.0085,0.1285714285714286,69.0,896.0,0.0
