beta,gamma,Infected,Recovered,Susceptible
0.004,0.1,843.8,797.65,999.0
0.004,0.1285714285714286,861.45,906.55,999.0
0.004,0.15714285714285714,839.15,940.95,999.0
0.004,0.18571428571428572,775.2,915.95,999.0
0.004,0.2142857142857143,791.1,979.25,999.0
0.004,0.24285714285714288,694.85,887.55,999.0
0.004,0.27142857142857146,602.35,795.05,999.0
0.004,0.30000000000000004,624.8,846.8,999.0
0.004,0.3285714285714286,684.05,947.75,999.0
0.004,0.3571428571428572,667.45,948.9,999.0
0.004,0.3857142857142858,651.5,949.3,999.0
0.004,0.41428571428571437,601.45,899.6,999.0
0.004,0.44285714285714284,621.7,949.45,999.0
0.004,0.4714285714285714,540.1,849.65,999.0
0.004,0.5,496.35,799.5,999.0
0.004642857142857143,0.1,900.4,844.4,999.0
0.004642857142857143,0.1285714285714286,876.3,909.85,999.0
0.004642857142857143,0.15714285714285714,768.9,850.05,999.0
0.004642857142857143,0.18571428571428572,833.25,966.5,999.0
0.004642857142857143,0.2142857142857143,814.05,979.2,999.0
0.004642857142857143,0.24285714285714288,754.15,939.55,999.0
0.004642857142857143,0.27142857142857146,774.0,993.2,999.0
0.004642857142857143,0.30000000000000004,720.6,946.05,999.0
0.004642857142857143,0.3285714285714286,703.85,947.35,999.0
0.004642857142857143,0.3571428571428572,652.8,898.7,999.0
0.004642857142857143,0.3857142857142858,569.35,799.5,999.0
0.004642857142857143,0.41428571428571437,626.55,899.45,999.0
0.004642857142857143,0.44285714285714284,647.8,949.75,999.0
0.004642857142857143,0.4714285714285714,635.1,949.85,999.0
0.004642857142857143,0.5,654.3,999.8,999.0
0.005285714285714286,0.1,903.4,846.95,999.0
0.005285714285714286,0.1285714285714286,885.95,911.6,999.0
0.005285714285714286,0.15714285714285714,782.75,851.85,999.0
0.005285714285714286,0.18571428571428572,849.0,966.85,999.0
0.005285714285714286,0.2142857142857143,832.6,981.3,999.0
0.005285714285714286,0.24285714285714288,731.15,890.1,999.0
0.005285714285714286,0.27142857142857146,754.25,944.25,999.0
0.005285714285714286,0.30000000000000004,777.75,996.55,999.0
0.005285714285714286,0.3285714285714286,724.15,948.05,999.0
