beta,gamma,Infected,Recovered,Susceptible
0.004,0.1,37480.45999999999,33530.22749999999,0.0
0.004,0.1285714285714286,125.8475,123.04749999999999,0.0
0.004,0.15714285714285714,186.6275,28.747500000000002,0.0
0.004,0.18571428571428572,31697.660000000003,44096.84749999999,0.0
0.004,0.2142857142857143,185.09000000000003,22.7875,0.0
0.004,0.24285714285714288,53719.32749999999,87337.2475,0.0
0.004,0.27142857142857146,90726.62749999997,157635.6475,0.0
0.004,0.30000000000000004,69001.26000000001,126246.16,0.0
0.004,0.3285714285714286,24889.6475,47177.1875,0.0
0.004,0.3571428571428572,23759.5475,47290.89,0.0
0.004,0.3857142857142858,22688.25,47331.61,0.0
0.004,0.41428571428571437,40512.8475,89720.84000000001,0.0
0.004,0.44285714285714284,20760.609999999997,47345.5475,0.0
0.004,0.4714285714285714,51738.09,127095.72750000001,0.0
0.004,0.5,61739.12749999999,159401.15,0.0
0.004642857142857143,0.1,80.44,146.54,0.0
0.004642857142857143,0.1285714285714286,167.61000000000004,67.62750000000003,0.0
0.004642857142857143,0.15714285714285714,65633.69,80139.3475,0.0
0.004642857142857143,0.18571428571428572,172.0875,30.55,0.0
0.004642857142857143,0.2142857142857143,274.9474999999999,13.959999999999999,0.0
0.004642857142857143,0.24285714285714288,30065.42750000001,46384.447499999995,0.0
0.004642857142857143,0.27142857142857146,184.9,5.36,0.0
0.004642857142857143,0.30000000000000004,27487.739999999998,47009.64750000001,0.0
0.004642857142857143,0.3285714285714286,26263.9275,47138.22749999999,0.0
0.004642857142857143,0.3571428571428572,47471.96000000001,89541.70999999999,0.0
0.004642857142857143,0.3857142857142858,81051.6275,159401.25,0.0
0.004642857142857143,0.41428571428571437,43797.0475,89690.8475,0.0
0.004642857142857143,0.44285714285714284,22349.56,47375.4875,0.0
0.004642857142857143,0.4714285714285714,21537.29,47385.42749999999,0.0
0.004642857142857143,0.5,329.90999999999997,0.16000000000000003,0.0
0.005285714285714286,0.1,90.64,119.74750000000002,0.0
0.005285714285714286,0.1285714285714286,162.5475,64.84,0.0
0.005285714285714286,0.15714285714285714,68000.9875,80484.9275,0.0
0.005285714285714286,0.18571428571428572,194.1,28.127500000000005,0.0
0.005285714285714286,0.2142857142857143,237.64000000000001,11.71,0.0
0.005285714285714286,0.24285714285714288,59347.027500000004,87843.19,0.0
0.005285714285714286,0.27142857142857146,29987.3875,46835.0875,0.0
0.005285714285714286,0.30000000000000004,152.8875,5.147500000000001,0.0
0.005285714285714286,0.3285714285714286,27652.7275,47208.247500000005,0.0
0.005285714285714286,0.3571428571428572,50622.490000000005,89621.49000000002,0.0
0.005285714285714286,0.3857142857142858,25723.927499999998,47330.71000000001,0.0
0.005285714285714286,0.41428571428571437,153.9475,0.4400000000000002,0.0
0.005285714285714286,0.44285714285714284,23677.739999999998,47385.22749999999,0.0
0.005285714285714286,0.4714285714285714,22759.45,47390.19,0.0
0.005285714285714286,0.5,21814.1875,47405.0475,0.0
0.005928571428571429,0.1,61.147500000000015,173.44749999999996,0.0
0.005928571428571429,0.1285714285714286,77.30999999999999,59.6,0.0
0.005928571428571429,0.15714285714285714,77.8275,43.25999999999999,0.0
0.005928571428571429,0.18571428571428572,35207.64750000001,44626.12750000001,0.0
0.005928571428571429,0.2142857142857143,64387.33999999998,86745.6475,0.0
0.005928571428571429,0.24285714285714288,61643.94,87859.21000000002,0.0
0.005928571428571429,0.27142857142857146,59372.159999999996,88838.82749999998,0.0
0.005928571428571429,0.30000000000000004,30167.639999999996,47139.32750000001,0.0
0.005928571428571429,0.3285714285714286,143.0275,2.3475000000000006,0.0
0.005928571428571429,0.3571428571428572,54221.12749999999,89491.3475,0.0
0.005928571428571429,0.3857142857142858,52471.209999999985,89630.82749999998,0.0
0.005928571428571429,0.41428571428571437,50582.847499999996,89690.94749999998,0.0
0.005928571428571429,0.44285714285714284,49073.34,89610.9475,0.0
0.005928571428571429,0.4714285714285714,47343.1275,89660.76,0.0
0.005928571428571429,0.5,81242.95,159460.72749999998,0.0
0.006571428571428572,0.1,91.46,97.2875,0.0
0.006571428571428572,0.1285714285714286,39105.54,39521.527500000004,0.0
0.006571428571428572,0.15714285714285714,45.3875,54.8275,0.0
0.006571428571428572,0.18571428571428572,151.72749999999996,25.047500000000003,0.0
0.006571428571428572,0.2142857142857143,138.5875,16.76,0.0
0.006571428571428572,0.24285714285714288,129.4275,5.6875,0.0
0.006571428571428572,0.27142857142857146,175.11,5.4,0.0
0.006571428571428572,0.30000000000000004,207.4875,3.55,0.0
0.006571428571428572,0.3285714285714286,58366.7475,89441.95999999999,0.0
0.006571428571428572,0.3571428571428572,29967.290000000008,47265.9275,0.0
0.006571428571428572,0.3857142857142858,55056.3275,89630.82749999998,0.0
0.006571428571428572,0.41428571428571437,53262.409999999996,89690.94749999998,0.0
0.006571428571428572,0.44285714285714284,51507.7475,89620.94,0.0
0.006571428571428572,0.4714285714285714,49928.5275,89800.2,0.0
0.006571428571428572,0.5,48133.8875,89820.09000000001,0.0
0.007214285714285715,0.1,34.04,149.31000000000003,0.0
0.007214285714285715,0.1285714285714286,66.64750000000001,105.1875,0.0
0.007214285714285715,0.15714285714285714,38050.447499999995,42754.3475,0.0
0.007214285714285715,0.18571428571428572,36763.7475,44852.08999999999,0.0
0.007214285714285715,0.2142857142857143,67784.5475,86650.0,0.0
0.007214285714285715,0.24285714285714288,65193.42749999999,87771.6875,0.0
0.007214285714285715,0.27142857142857146,33682.427500000005,46852.04749999999,0.0
0.007214285714285715,0.30000000000000004,172.5275,2.4875,0.0
0.007214285714285715,0.3285714285714286,31714.690000000002,47202.0,0.0
0.007214285714285715,0.3571428571428572,103.28999999999999,0.9400000000000001,0.0
0.007214285714285715,0.3857142857142858,29918.95,47321.16,0.0
0.007214285714285715,0.41428571428571437,54962.947499999995,89740.41,0.0
0.007214285714285715,0.44285714285714284,53594.94,89780.29000000001,0.0
0.007214285714285715,0.4714285714285714,52216.439999999995,89800.2,0.0
0.007214285714285715,0.5,50592.6275,89820.09000000001,0.0
0.007857142857142858,0.1,41314.55,34357.310000000005,0.0
0.007857142857142858,0.1285714285714286,67.84,84.74750000000002,0.0
0.007857142857142858,0.15714285714285714,215.15,46.9875,0.0
0.007857142857142858,0.18571428571428572,111.71000000000004,25.6475,0.0
0.007857142857142858,0.2142857142857143,68063.79000000001,86817.59,0.0
0.007857142857142858,0.24285714285714288,34950.34,46465.55,0.0
0.007857142857142858,0.27142857142857146,63887.2275,88821.04750000002,0.0
0.007857142857142858,0.30000000000000004,150.61,3.8875,0.0
0.007857142857142858,0.3285714285714286,158.8,1.31,0.0
0.007857142857142858,0.3571428571428572,193.64749999999998,1.1275000000000002,0.0
0.007857142857142858,0.3857142857142858,194.34750000000003,1.2900000000000003,0.0
0.007857142857142858,0.41428571428571437,29631.327500000003,47360.54,0.0
0.007857142857142858,0.44285714285714284,221.4475,0.2875,0.0
0.007857142857142858,0.4714285714285714,194.73999999999998,0.25999999999999995,0.0
0.007857142857142858,0.5,176.8875,0.09,0.0
0.0085,0.1,57.18999999999998,54.34750000000001,0.0
0.0085,0.1285714285714286,62.3875,54.7,0.0
0.0085,0.15714285714285714,209.72750000000002,57.74000000000001,0.0
0.0085,0.18571428571428572,96.22749999999999,19.627499999999998,0.0
0.0085,0.2142857142857143,36748.4475,45827.6,0.0
0.0085,0.24285714285714288,35716.9875,46492.1875,0.0
0.0085,0.27142857142857146,253.62750000000005,4.25,0.0
0.0085,0.30000000000000004,221.7875,3.9275000000000007,0.0
0.0085,0.3285714285714286,33334.4475,47226.5875,0.0
0.0085,0.3571428571428572,200.42749999999998,1.01,0.0
0.0085,0.3857142857142858,158.14749999999998,0.35,0.0
0.0085,0.41428571428571437,30949.7875,47385.22749999999,0.0
0.0085,0.44285714285714284,30186.247499999998,47400.1,0.0
0.0085,0.4714285714285714,29411.460000000003,47400.1,0.0
0.0085,0.5,28694.79,47405.0475,0.0
0.009142857142857144,0.1,58.94750000000001,191.4275,0.0
0.009142857142857144,0.1285714285714286,107.54,103.34,0.0
0.009142857142857144,0.15714285714285714,106.41000000000004,50.00999999999999,0.0
0.009142857142857144,0.18571428571428572,120.6,10.7875,0.0
0.009142857142857144,0.2142857142857143,202.23999999999998,15.927499999999998,0.0
0.009142857142857144,0.24285714285714288,196.45,11.939999999999998,0.0
0.009142857142857144,0.27142857142857146,192.33999999999997,4.65,0.0
0.009142857142857144,0.30000000000000004,201.1275,4.027500000000001,0.0
0.009142857142857144,0.3285714285714286,206.02749999999997,1.3875,0.0
0.009142857142857144,0.3571428571428572,211.14000000000001,1.01,0.0
0.009142857142857144,0.3857142857142858,158.1475,0.5100000000000001,0.0
0.009142857142857144,0.41428571428571437,188.0275,0.32749999999999996,0.0
0.009142857142857144,0.44285714285714284,205.45999999999998,0.25999999999999995,0.0
0.009142857142857144,0.4714285714285714,30237.440000000002,47390.19,0.0
0.009142857142857144,0.5,29499.847500000003,47395.147499999985,0.0
0.009785714285714286,0.1,79827.3275,65545.84000000001,0.0
0.009785714285714286,0.1285714285714286,59.75,60.65,0.0
0.009785714285714286,0.15714285714285714,40011.55,42911.1475,0.0
0.009785714285714286,0.18571428571428572,56.459999999999994,21.127499999999998,0.0
0.009785714285714286,0.2142857142857143,70.5,12.060000000000002,0.0
0.009785714285714286,0.24285714285714288,112.71000000000001,5.55,0.0
0.009785714285714286,0.27142857142857146,36144.81,46805.6,0.0
0.009785714285714286,0.30000000000000004,35347.7875,47118.1275,0.0
0.009785714285714286,0.3285714285714286,34569.96000000001,47236.927500000005,0.0
0.009785714285714286,0.3571428571428572,33628.31,47296.0475,0.0
0.009785714285714286,0.3857142857142858,137.85999999999999,0.5100000000000001,0.0
0.009785714285714286,0.41428571428571437,164.6475,0.32749999999999996,0.0
0.009785714285714286,0.44285714285714284,187.32750000000001,0.25999999999999995,0.0
0.009785714285714286,0.4714285714285714,203.64749999999998,0.12750000000000003,0.0
0.009785714285714286,0.5,170.56,0.047500000000000014,0.0
0.01042857142857143,0.1,35.25,106.98999999999998,0.0
0.01042857142857143,0.1285714285714286,54.90999999999999,76.54750000000001,0.0
0.01042857142857143,0.15714285714285714,73.2875,61.8275,0.0
0.01042857142857143,0.18571428571428572,39489.8875,44914.747500000005,0.0
0.01042857142857143,0.2142857142857143,69.44750000000002,14.5,0.0
0.01042857142857143,0.24285714285714288,69.4875,7.19,0.0
0.01042857142857143,0.27142857142857146,78.50999999999999,2.6,0.0
0.01042857142857143,0.30000000000000004,75.25999999999999,2.34,0.0
0.01042857142857143,0.3285714285714286,34953.747500000005,47247.0475,0.0
0.01042857142857143,0.3571428571428572,34320.55,47325.9875,0.0
0.01042857142857143,0.3857142857142858,33586.64,47345.747500000005,0.0
0.01042857142857143,0.41428571428571437,127.32750000000001,0.41000000000000003,0.0
0.01042857142857143,0.44285714285714284,168.11,0.12750000000000003,0.0
0.01042857142857143,0.4714285714285714,144.59,0.047500000000000014,0.0
0.01042857142857143,0.5,144.04749999999996,0.047500000000000014,0.0
0.011071428571428572,0.1,41.989999999999995,119.22749999999999,0.0
0.011071428571428572,0.1285714285714286,41795.61,39955.03999999999,0.0
0.011071428571428572,0.15714285714285714,64.3275,54.927499999999995,0.0
0.011071428571428572,0.18571428571428572,75.00999999999999,34.7,0.0
0.011071428571428572,0.2142857142857143,90.04,18.810000000000002,0.0
0.011071428571428572,0.24285714285714288,38001.4875,46630.759999999995,0.0
0.011071428571428572,0.27142857142857146,37176.25,46983.76,0.0
0.011071428571428572,0.30000000000000004,98.21,0.8475000000000001,0.0
0.011071428571428572,0.3285714285714286,100.85,0.9875,0.0
0.011071428571428572,0.3571428571428572,102.75999999999999,0.79,0.0
0.011071428571428572,0.3857142857142858,97.44000000000001,0.44000000000000006,0.0
0.011071428571428572,0.41428571428571437,122.62749999999997,0.4475000000000001,0.0
0.011071428571428572,0.44285714285714284,117.14750000000001,0.32749999999999996,0.0
0.011071428571428572,0.4714285714285714,130.7275,0.12750000000000003,0.0
0.011071428571428572,0.5,118.39000000000001,0.12750000000000003,0.0
0.011714285714285714,0.1,47.32750000000001,114.75,0.0
0.011714285714285714,0.1285714285714286,104.12749999999998,50.459999999999994,0.0
0.011714285714285714,0.15714285714285714,101.54,49.64,0.0
