time,Infected,Recovered,Susceptible
0.0,1.0,0.0,999.0
0.05,2.0,0.0,998.0
0.1,2.0,0.0,998.0
0.15,2.0,0.0,998.0
0.2,4.0,0.0,996.0
0.25,7.0,0.0,993.0
0.3,8.0,0.0,992.0
0.35,11.0,0.0,989.0
0.4,15.0,0.0,985.0
0.45,26.0,1.0,973.0
0.5,35.0,2.0,963.0
0.55,47.0,2.0,951.0
0.6,68.0,4.0,928.0
0.65,94.0,5.0,901.0
0.7,139.0,6.0,855.0
0.75,180.0,7.0,813.0
0.8,255.0,9.0,736.0
0.85,348.0,13.0,639.0
0.9,429.0,21.0,550.0
0.95,523.0,29.0,448.0
1.0,584.0,42.0,374.0
1.05,686.0,50.0,264.0
1.1,741.0,65.0,194.0
1.15,785.0,73.0,142.0
1.2,800.0,84.0,116.0
1.25,821.0,96.0,83.0
1.3,830.0,112.0,58.0
1.35,839.0,125.0,36.0
1.4,841.0,138.0,21.0
1.45,840.0,145.0,15.0
1.5,829.0,160.0,11.0
1.55,824.0,167.0,9.0
1.6,812.0,180.0,8.0
1.65,803.0,192.0,5.0
1.7,793.0,205.0,2.0
1.75,781.0,219.0,0.0
1.8,767.0,233.0,0.0
1.85,756.0,244.0,0.0
1.9,745.0,255.0,0.0
1.95,736.0,264.0,0.0
2.0,730.0,270.0,0.0
2.05,719.0,281.0,0.0
2.1,711.0,289.0,0.0
2.15,700.0,300.0,0.0
2.2,691.0,309.0,0.0
2.25,677.0,323.0,0.0
2.3,669.0,331.0,0.0
2.35,662.0,338.0,0.0
2.4,652.0,348.0,0.0
2.45,644.0,356.0,0.0
2.5,634.0,366.0,0.0
2.55,626.0,374.0,0.0
2.6,618.0,382.0,0.0
2.65,608.0,392.0,0.0
2.7,598.0,402.0,0.0
2.75,587.0,413.0,0.0
2.8,582.0,418.0,0.0
2.85,569.0,431.0,0.0
2.9,557.0,443.0,0.0
2.95,548.0,452.0,0.0
3.0,535.0,465.0,0.0
3.05,529.0,471.0,0.0
3.1,526.0,474.0,0.0
3.15,520.0,480.0,0.0
3.2,512.0,488.0,0.0
3.25,502.0,498.0,0.0
3.3,492.0,508.0,0.0
3.35,484.0,516.0,0.0
3.4,475.0,525.0,0.0
3.45,468.0,532.0,0.0
3.5,459.0,541.0,0.0
3.55,451.0,549.0,0.0
3.6,444.0,556.0,0.0
3.65,438.0,562.0,0.0
3.7,428.0,572.0,0.0
3.75,424.0,576.0,0.0
3.8,419.0,581.0,0.0
3.85,412.0,588.0,0.0
3.9,406.0,594.0,0.0
3.95,404.0,596.0,0.0
4.0,400.0,600.0,0.0
4.05,395.0,605.0,0.0
4.1,394.0,606.0,0.0
4.15,388.0,612.0,0.0
4.2,386.0,614.0,0.0
4.25,381.0,619.0,0.0
4.3,375.0,625.0,0.0
4.35,370.0,630.0,0.0
4.4,361.0,639.0,0.0
4.45,353.0,647.0,0.0
4.5,349.0,651.0,0.0
4.55,346.0,654.0,0.0
4.6,343.0,657.0,0.0
4.65,338.0,662.0,0.0
4.7,333.0,667.0,0.0
4.75,330.0,670.0,0.0
